Egfr,GF-receptors
Erbb2,GF-receptors
Erbb3,GF-receptors
Erbb4,GF-receptors
Fgfr1,GF-receptors
Fgfr2,GF-receptors
Fgfr3,GF-receptors
Fgfr4,GF-receptors
Ngfr,GF-receptors
Ntrk1,GF-receptors
Ntrk2,GF-receptors
Insr,GF-receptors
Igf1r,GF-receptors
Pdgfra,GF-receptors
Pdgfrb,GF-receptors
Csf1r,GF-receptors
Kit,GF-receptors
Flt3,GF-receptors
Flt1,GF-receptors
Flt4,GF-receptors
Kdr,GF-receptors
Met,GF-receptors
Tek,GF-receptors
Epha2,GF-receptors
Egf,GF
Tgfa,GF
Fgf1,GF
Fgf2,GF
Fgf3,GF
Fgf4,GF
Fgf5,GF
Fgf7,GF
Fgf8,GF
Fgf9,GF
Fgf10,GF
Fgf16,GF
Fgf17,GF
Fgf18,GF
Fgf20,GF
Fgf22,GF
Fgf15,GF
Fgf21,GF
Fgf23,GF
Ngf,GF
Bdnf,GF
Ntf3,GF
Ntf5,GF
Igf1,GF
Igf2,GF
Pdgfa,GF
Pdgfb,GF
Pdgfc,GF
Pdgfd,GF
Csf1,GF
Kitl,GF
Flt3l,GF
Vegfa,GF
Vegfb,GF
Pgf,GF
Vegfc,GF
Vegfd,GF
Hgf,GF
Angpt1,GF
Angpt2,GF
Angpt4,GF
Efna1,GF
Efna2,GF
Efna4,GF
Efna5,GF
Efna3,GF
Gnb1,Ras
Gnb2,Ras
Gnb3,Ras
Gnb4,Ras
Gnb5,Ras
Gng2,Ras
Gng3,Ras
Gng4,Ras
Gng5,Ras
Gng5-ps,Ras
Gng7,Ras
Gng8,Ras
Gng10,Ras
Gng11,Ras
Gng12,Ras
Gm5741,Ras
Gng13,Ras
Gngt2,Ras
Gab1,Ras
Gab2,Ras
Shc1,Ras
Shc2,Ras
Shc3,Ras
Shc4,Ras
Ptpn11,Ras
Plcg1,Ras
Plcg2,Ras
Grb2,MAPK
Sos1,MAPK
Sos2,MAPK
Rasgrp1,MAPK
Rasgrp2,MAPK
Rasgrp3,MAPK
Rasgrp4,MAPK
Rasgrf1,MAPK
Rasgrf2,MAPK
Hras,MAPK
Kras,MAPK
Nras,MAPK
Rras,MAPK
Rras2,MAPK
Mras,MAPK
Prkca,MAPK
Prkcb,MAPK
Prkcg,MAPK
Rapgef2,MAPK
Prkaca,MAPK
Prkacb,MAPK
Rap1a,MAPK
Rap1b,MAPK
Araf,MAPK
Braf,MAPK
Raf1,MAPK
Map2k1,MAPK
Map2k2,MAPK
Lamtor3,MAPK
Mapk1,MAPK
Mapk3,MAPK
Rps6ka3,MAPK
Rps6ka1,MAPK
Rps6ka2,MAPK
Rps6ka6,MAPK
Mknk1,MAPK
Mknk2,MAPK
Atf4,MAPK
Elk1,MAPK
Elk4,MAPK
Srf,MAPK
Myc,MAPK
Fos,MAPK
Stmn1,MAPK
Pla2g4a,MAPK
Pla2g4b,MAPK
Pla2g4c,MAPK
Pla2g4f,MAPK
Pla2g4e,MAPK
Pla2g4d,MAPK
Mapt,MAPK
Irs1,PI3K
Pik3ca,PI3K
Pik3r2,PI3K
Pik3cg,PI3K
Pik3r5,PI3K
Pik3r6,PI3K
Pdpk1,PI3K
Prkca,PI3K
Pkn1,PI3K
Pkn3,PI3K
Pkn2,PI3K
Sgk1,PI3K
Sgk2,PI3K
Sgk3,PI3K
Akt1,PI3K
Akt2,PI3K
Akt3,PI3K
Creb1,PI3K
Creb3,PI3K
Creb3l1,PI3K
Creb3l2,PI3K
Creb3l3,PI3K
Creb3l4,PI3K
Creb5,PI3K
Atf6b,PI3K
Atf2,PI3K
Atf4,PI3K
Mcl1,PI3K
Bcl2,PI3K
Mdm2,PI3K
Ikbkg,PI3K
Chuk,PI3K
Ikbkb,PI3K
Nfkb1,PI3K
Rela,PI3K
Bcl2l1,PI3K
Myb,PI3K
Fasl,PI3K
Bcl2l11,PI3K
Nos3,PI3K
Brca1,PI3K
Rps6kb2,PI3K
Rps6kb1,PI3K
Eif4b,PI3K
LOC105244208,PI3K
Rps6,PI3K
Ccnd1,cell-cycle
Ccnd2,cell-cycle
Ccnd3,cell-cycle
Cdk1,cell-cycle
Cdk2,cell-cycle
Cdk4,cell-cycle
Cdk6,cell-cycle
Ccne1,cell-cycle
Ccne2,cell-cycle
Id1,cell-cycle
Id2,cell-cycle
Id4,cell-cycle
Clu,cell-cycle
Mki67,cell-cycle
Ccna1,focal-adhesion
Ccna2,focal-adhesion
Col1a1,focal-adhesion
Col1a2,focal-adhesion
Col2a1,focal-adhesion
Col4a1,focal-adhesion
Col4a2,focal-adhesion
Col4a4,focal-adhesion
Col4a6,focal-adhesion
Col4a5,focal-adhesion
Col4a3,focal-adhesion
Col6a2,focal-adhesion
Col6a1,focal-adhesion
Col6a6,focal-adhesion
Col6a3,focal-adhesion
Col6a4,focal-adhesion
Col6a5,focal-adhesion
Col9a1,focal-adhesion
Col9a2,focal-adhesion
Col9a3,focal-adhesion
Lama1,focal-adhesion
Lama2,focal-adhesion
Lama3,focal-adhesion
Lama5,focal-adhesion
Lama4,focal-adhesion
Lamb1,focal-adhesion
Lamb2,focal-adhesion
Lamb3,focal-adhesion
Lamc1,focal-adhesion
Lamc2,focal-adhesion
Lamc3,focal-adhesion
Chad,focal-adhesion
Reln,focal-adhesion
Thbs1,focal-adhesion
Comp,focal-adhesion
Thbs2,focal-adhesion
Thbs3,focal-adhesion
Fn1,focal-adhesion
Spp1,focal-adhesion
Tnc,focal-adhesion
Tnr,focal-adhesion
Tnn,focal-adhesion
Tnxb,focal-adhesion
Ibsp,focal-adhesion
Vwf,focal-adhesion
Itga1,focal-adhesion
Itga2,focal-adhesion
Itga2b,focal-adhesion
Itga3,focal-adhesion
Itga4,focal-adhesion
Itga5,focal-adhesion
Itga6,focal-adhesion
Itga7,focal-adhesion
Itga8,focal-adhesion
Itga9,focal-adhesion
Itga10,focal-adhesion
Itga11,focal-adhesion
Itgav,focal-adhesion
Itgb1,focal-adhesion
Itgb3,focal-adhesion
Itgb4,focal-adhesion
Itgb5,focal-adhesion
Itgb6,focal-adhesion
Itgb7,focal-adhesion
Itgb8,focal-adhesion
Rhoa,focal-adhesion
Rock1,focal-adhesion
Rock2,focal-adhesion
Myl9,focal-adhesion
Myl12b,focal-adhesion
Myl12a,focal-adhesion
Mylpf,focal-adhesion
Mylk,focal-adhesion
Mylk3,focal-adhesion
Mylk2,focal-adhesion
Mylk4,focal-adhesion
Actb,focal-adhesion
Actg1,focal-adhesion
Capn2,focal-adhesion
Ptk2,focal-adhesion
Tln1,focal-adhesion
Tln2,focal-adhesion
Flna,focal-adhesion
Flnb,focal-adhesion
Flnc,focal-adhesion
Pxn,focal-adhesion
Ilk,focal-adhesion
Zyx,focal-adhesion
Vasp,focal-adhesion
Vcl,focal-adhesion
Parvb,focal-adhesion
Parva,focal-adhesion
Parvg,focal-adhesion
Vav1,focal-adhesion
Vav2,focal-adhesion
Vav3,focal-adhesion
Rac1,focal-adhesion
Rac2,focal-adhesion
Rac3,focal-adhesion
Pak1,focal-adhesion
