GeneID,Symbol
17702,Msx2
16819,Lcn2
19130,Prox1
26423,Nr5a1
18747,Prkaca
19401,Rara
14955,H19
19883,Rora
13488,Drd1
12914,Crebbp
213742,Xist
22228,Ucp2
13198,Ddit3
63873,Trpv4
16197,Il7r
14056,Ezh2
257632,Nod2
18186,Nrp1
21872,Tjp1
14160,Lgr5
12766,Cxcr3
21817,Tgm2
21833,Thra
21834,Thrb
18626,Per1
16842,Lef1
15270,H2afx
13388,Dll1
277328,Trpa1
12703,Socs1
13075,Cyp19a1
14417,Gad2
17863,Myb
11539,Adora1
11806,Apoa1
16905,Lmna
16600,Klf4
230899,Nppa
20692,Sparc
64930,Tsc1
15139,Hc
22329,Vcam1
21825,Thbs1
14599,Gh
18012,Neurod1
13645,Egf
15550,Htr1a
18741,Pitx2
18049,Ngf
11350,Abl1
14972,H2-K1
83430,Il23a
15930,Ido1
15460,Hr
12918,Crh
14828,Hspa5
12006,Axin2
18129,Notch2
21375,Tbr1
14118,Fbn1
66824,Pycard
13856,Epo
18754,Prkce
13435,Dnmt3a
19224,Ptgs1
23821,Bace1
11491,Adam17
15378,Hnf4a
13857,Epor
15902,Id2
17386,Mmp13
21674,Sry
14184,Fgfr3
20288,Msr1
20849,Stat4
11609,Agtr2
12524,Cd86
20963,Syk
14063,F2rl1
18792,Plau
11793,Atg5
11652,Akt2
20191,Ryr2
72208,1700016L21Rik
16971,Lrp1
20787,Srebf1
17129,Smad5
18173,Slc11a1
74244,Atg7
15945,Cxcl10
18088,Nkx2-2
16184,Il2ra
433759,Hdac1
13819,Epas1
12591,Cdx2
14600,Ghr
20343,Sell
140919,Slc17a6
18763,Pkd1
19227,Pthlh
13838,Epha4
17756,Map2
16664,Krt14
12475,Cd14
16869,Lhx1
20181,Rxra
11921,Atoh1
12843,Col1a2
18205,Ntf3
50929,Il22
54131,Irf3
16195,Il6st
21857,Timp1
19213,Ptf1a
16191,Il5
16818,Lck
14175,Fgf4
22371,Vwf
22034,Traf6
21748,Terc
21423,Tcf3
18211,Ntrk1
11689,Alox5
18669,Abcb1b
20416,Shc1
11423,Ache
14613,Gja5
16362,Irf1
15228,Foxg1
12370,Casp8
12142,Prdm1
13612,Edil3
16438,Itpr1
56636,Fgf21
21808,Tgfb2
18815,Plg
11634,Aire
14964,H2-D1
108071,Grm5
12151,Bmi1
19246,Ptpn1
11516,Adcyap1
20302,Ccl3
319757,Smo
12166,Bmpr1a
13385,Dlg4
16331,Inpp5d
14683,Gnas
20525,Slc2a1
50873,Prkn
21333,Tac1
17260,Mef2c
15900,Irf8
20851,Stat5b
21687,Tek
12018,Bak1
69865,A1cf
14811,Grin2a
22353,Vip
22178,Tyrp1
14800,Gria2
22417,Wnt4
21942,Tnfrsf9
19885,Rorc
13642,Efnb2
20698,Sphk1
58208,Bcl11b
15499,Hsf1
17918,Myo5a
26409,Map3k7
26420,Mapk9
216869,Arrb2
21354,Tap1
20190,Ryr1
21336,Tacr1
18675,Phex
20249,Scd1
18706,Pik3ca
16514,Kcnj11
22160,Twist1
12501,Cd3e
15370,Nr4a1
109880,Braf
16956,Lpl
12566,Cdk2
22084,Tsc2
17202,Mc4r
11977,Atp7a
378710,Musd2
378709,Musd1
11444,Chrnb2
14633,Gli2
21802,Tgfa
16531,Kcnma1
20807,Srf
20969,Sdc1
17286,Meox2
13380,Dkk1
20683,Sp1
11924,Neurog2
14432,Gap43
22601,Yap1
22433,Xbp1
14617,Gjd2
19217,Ptger2
18208,Ntn1
56490,Zbtb20
11925,Neurog3
14652,Glp1r
12567,Cdk4
243469,Igk
22287,Scgb1a1
12122,Bid
16691,Krt8
14461,Gata2
12677,Vsx2
19106,Eif2ak2
14775,Gpx1
12577,Cdkn1c
20389,Sftpc
13618,Ednrb
22260,Nr1h2
387140,Mir21a
60505,Il21
12921,Crhr1
13193,Dcx
18591,Pdgfb
18783,Pla2g4a
12273,C5ar1
50490,Nox4
384783,Irs2
18412,Sqstm1
72160,Tmem163
12288,Cacna1c
12444,Ccnd2
16187,Il3
15901,Id1
11461,Actb
57320,Park7
21812,Tgfbr1
17906,Myl2
19892,Rpe65
21838,Thy1
14255,Flt3
18119,Nodal
12518,Cd79a
110157,Raf1
16149,Cd74
20512,Slc1a3
20977,Syp
16401,Itga4
15129,Hbb-b1
17082,Il1rl1
14816,Grm1
218772,Rarb
12494,Cd38
20613,Snai1
22223,Uchl1
18858,Pmp22
18039,Nefl
21752,Tert
18227,Nr4a2
13392,Dlx2
20597,Smpd1
12675,Chuk
11911,Atf4
18736,Pou1f1
13609,S1pr1
18761,Prkcq
19252,Dusp1
18762,Prkcz
19696,Rel
11826,Aqp1
22288,Utrn
11421,Ace
22778,Ikzf1
16852,Lgals1
13047,Cux1
170574,Sp7
13869,Erbb4
15186,Hdc
11647,Alpl
20273,Scn8a
12562,Cdh5
18378,Omp
24099,Tnfsf13b
84506,Hamp
380684,Nefh
12978,Csf1r
20203,S100b
110006,Gusb
64292,Ptges
328572,Ep300
23959,Nt5e
11799,Birc5
11938,Atp2a2
22346,Vhl
20614,Snap25
18019,Nfatc2
237038,Nox1
14682,Gnaq
13844,Ephb2
21809,Tgfb3
21418,Tfap2a
17101,Lyst
20346,Sema3a
14066,F3
69456,Commd10
27007,Klrk1
14131,Fcgr3
13039,Ctsl
18131,Notch3
13138,Dag1
14062,F2r
11576,Afp
20276,Scnn1a
22324,Vav1
18751,Prkcb
18996,Pou4f1
19219,Ptger4
12402,Cbl
19378,Aldh1a2
13386,Dlk1
64384,Sirt3
12062,Bdkrb2
20304,Ccl5
54167,Icos
17210,Mcl1
12411,Cbs
11687,Alox15
14257,Flt4
13490,Drd3
15171,Hcrt
72508,Rps6kb1
20339,Sele
20586,Smarca4
18035,Nfkbia
104360,Isl2
12289,Cacna1d
14824,Grn
16033,Igh-J
238055,Apob
14939,Gzmb
16364,Irf4
16410,Itgav
14618,Gjb1
13106,Cyp2e1
15483,Hsd11b1
19701,Ren1
20393,Sgk1
12053,Bcl6
16952,Anxa1
12355,Nr1i3
22139,Ttr
17921,Myo7a
19877,Rock1
20387,Sftpa1
11704,Amelx
16423,Cd47
21349,Tal1
18793,Plaur
14465,Gata6
13395,Dlx5
15182,Hdac2
12317,Calr
64654,Fgf23
17685,Msh2
15111,Hand2
16772,Lama1
15216,Hfe
23871,Ets1
18386,Oprd1
18429,Oxt
54485,Dll4
55994,Smad9
22035,Tnfsf10
13030,Ctsb
16172,Il17ra
17750,Mt2
21956,Tnnt2
17387,Mmp14
13131,Dab1
16181,Il1rn
20657,Sod3
18109,Mycn
12259,C1qa
14394,Gabra1
19133,Prph2
11910,Atf3
12985,Csf3
66725,Lrrk2
19109,Prl
17283,Men1
17131,Smad7
245944,Vps54
15183,Hdac3
17868,Mybpc3
12902,Cr2
56644,Clec7a
20390,Sftpd
12359,Cat
18607,Pdpk1
18431,Oca2
14678,Gnai2
12265,Ciita
14174,Fgf3
12952,Cry1
11846,Arg1
11705,Amh
15208,Hes5
53859,Map3k14
18171,Nr1i2
14726,Pdpn
18096,Nkx6-1
50706,Postn
18160,Npr1
13805,Eng
16202,Ilk
16870,Lhx2
14825,Cxcl1
19091,Prkg1
22348,Slc32a1
56532,Ripk3
110454,Ly6a
22376,Was
21388,Tbx5
14069,F8
246779,Il27
12399,Runx3
53791,Tlr5
26357,Abcg2
17523,Mpo
16408,Itgal
21405,Hnf1a
13799,En2
30044,Opn4
17392,Mmp3
19228,Pth1r
13666,Eif2ak3
17829,Muc1
19317,Qk
18294,Ogg1
13179,Dcn
16403,Itga6
280287,Kiss1
121021,Cspg4
20496,Slc12a2
14256,Flt3l
72512,Tmem173
23988,Pin1
18752,Prkcg
18213,Ntrk3
17242,Mdk
56208,Becn1
19766,Ripk1
11863,Arnt
12424,Cck
12503,Cd247
66853,Pnpla2
12799,Cnp
12490,Cd34
15127,Hbb
21380,Tbx1
15530,Hspg2
21859,Timp3
170770,Bbc3
15903,Id3
18821,Pln
11604,Agrp
12759,Clu
11554,Adrb1
13607,Eda
13038,Ctsk
21954,Tnni3
18507,Pax5
17304,Mfge8
14419,Gal
55991,Panx1
19127,Prop1
12955,Cryab
19698,Relb
22215,Ube3a
18121,Nog
14420,Galc
15551,Htr1b
230908,Tardbp
22062,Trp73
53603,Tslp
19055,Ppp3ca
21475,Tcra-J
12096,Bglap
16004,Igf2r
22163,Tnfrsf4
15407,Hoxb1
15433,Hoxd13
15560,Htr2c
12140,Fabp7
110067,Tcrg
14751,Gpi1
17000,Ltbr
11487,Adam10
11600,Angpt1
78797,Ndor1
114332,Lyve1
108073,Grm7
15285,Mnx1
12374,Casr
19165,Psen2
68943,Pink1
20541,Slc8a1
19411,Rarg
16440,Itpr3
16151,Ikbkg
16890,Lipe
110308,Krt5
13797,Emx2
21345,Tagln
13436,Dnmt3b
26408,Map3k5
214162,Kmt2a
13166,Dbh
20544,Slc9a1
19261,Sirpa
24064,Spry2
70008,Ace2
12215,Bsg
18764,Pkd2
12903,Crabp1
54393,Gabbr1
14246,Flg
11541,Adora2b
18707,Pik3cd
11770,Fabp4
20964,Syn1
16917,Lmx1b
20345,Selplg
11551,Adra2a
18187,Nrp2
20511,Slc1a2
78757,Rictor
11830,Aqp5
17888,Myh6
11601,Angpt2
18503,Pax1
18416,Otc
11922,Neurod6
16402,Itga5
19116,Prlr
15185,Hdac6
19712,Rest
14784,Grb2
68585,Rtn4
14073,Faah
14406,Gabrg2
14619,Gjb2
50868,Keap1
22590,Xpa
93840,Vangl2
26395,Map2k1
19878,Rock2
228607,Mavs
18854,Pml
20979,Syt1
16485,Kcna1
13482,Dpp4
16453,Jak3
21934,Tnfrsf11a
12268,C4b
12333,Capn1
17289,Mertk
20526,Slc2a2
20198,S100a4
22632,Yy1
11657,Alb
12671,Chrm3
13018,Ctcf
18670,Abcb4
16658,Mafb
18742,Pitx3
268973,Nlrc4
11595,Acan
67269,Agtpbp1
22027,Hsp90b1
13176,Dcc
110784,Nr3c2
18479,Pak1
22330,Vcl
20202,S100a9
18712,Pim1
110355,Grk2
74499,Sost
22695,Zfp36
16973,Lrp5
19218,Ptger3
19204,Ptafr
18387,Oprk1
17136,Mag
13206,Ddx4
56338,Txnip
13850,Ephx2
12534,Cdk1
11827,Aqp2
20845,Star
12922,Crhr2
18263,Odc1
18034,Nfkb2
208188,Ghsr
20962,Sycp3
74006,Dnm1l
12954,Cryaa
13717,Eln
21367,Cntn2
18391,Sigmar1
16323,Inhba
15558,Htr2a
11419,Asic1
13190,Dct
387164,Mir146
17381,Mmp12
12669,Chrm1
15165,Hcn1
20866,Stim1
14082,Fadd
22359,Vldlr
12458,Ccr6
20310,Cxcl2
13076,Cyp1a1
15561,Htr3a
22068,Trpc6
18997,Pou4f2
19132,Prph
14164,Fgf1
244667,Disc1
14345,Fut4
16848,Lfng
13867,Erbb3
20271,Scn5a
12953,Cry2
214133,Tet2
12569,Cdk5r1
22041,Trf
19052,Ppp2ca
74370,Rptor
12371,Casp9
23892,Grem1
18383,Tnfrsf11b
16428,Itk
18176,Nras
21929,Tnfaip3
22177,Tyrobp
22415,Wnt3
22229,Ucp3
26365,Ceacam1
15200,Hbegf
104156,Etv5
11556,Adrb3
18803,Plcg1
19049,Ppp1r1b
13033,Ctsd
54123,Irf7
13640,Efna5
12168,Bmpr2
18935,Phox2b
11438,Chrna4
14433,Gapdh
18510,Pax8
13390,Dlx1
22295,Cdh23
17161,Maoa
13591,Ebf1
12768,Ccr1
14178,Fgf7
21821,Ift88
12916,Crem
114142,Foxp2
109689,Arrb1
16411,Itgax
17480,Mpl
11307,Abcg1
14962,Cfb
22637,Zap70
20264,Scn10a
15110,Hand1
11486,Ada
22030,Traf2
103988,Gck
11839,Areg
20563,Slit2
12190,Brca2
14129,Fcgr1
17920,Myo6
14180,Fgf9
18442,P2ry2
14169,Fgf14
14009,Etv1
12447,Ccne1
20473,Six3
22190,Ubc
11838,Arc
11668,Aldh1a1
14581,Gfi1
107607,Nod1
21416,Tcf7l2
12445,Ccnd3
22411,Wnt11
13518,Dst
14563,Gdf5
11603,Agrn
22350,Ezr
11819,Nr2f2
14235,Foxm1
12167,Bmpr1b
18612,Etv4
12609,Cebpd
16322,Inha
17528,Mpz
16185,Il2rb
14472,Gbx2
16871,Lhx3
21936,Tnfrsf18
11669,Aldh2
12061,Bdkrb1
18014,Neurog1
16198,Il9
22421,Wnt7a
16477,Junb
171382,Trpm8
15465,Hrh1
22422,Wnt7b
12388,Ctnnd1
57264,Retn
19229,Ptk2b
11535,Adm
606496,Gsk3a
216343,Tph2
16866,Lhb
226519,Lamc1
14313,Fst
14308,Fshb
16661,Krt10
16783,Lamp1
13115,Cyp27b1
18514,Pbx1
77579,Myh10
20312,Cx3cl1
11783,Apaf1
12483,Cd22
20583,Snai2
72961,Slc17a7
11459,Acta1
192897,Itgb4
12826,Col4a1
78943,Ern1
12097,Bglap2
20971,Sdc4
14745,Lpar1
12391,Cav3
14725,Lrp2
14466,Gba
269523,Vcp
11520,Plin2
13003,Vcan
13077,Cyp1a2
16598,Klf2
15375,Foxa1
18016,Nf2
18590,Pdgfa
14685,Gnat1
76854,Gper1
11758,Prdx6
12428,Ccna2
18260,Ocln
12803,Cntf
18759,Prkci
12628,Cfh
12349,Car2
107869,Cth
216233,Socs2
17886,Myh9
16169,Il15ra
170731,Mfn2
16974,Lrp6
16439,Itpr2
101772,Ano1
11998,Avp
12300,Cacng2
18605,Enpp1
15242,Hhex
110542,Amhr2
19242,Ptn
16534,Kcnn4
28240,Trpm2
17350,Mlh1
16995,Ltb4r1
14459,Gast
19882,Mst1r
22042,Tfrc
17831,Muc2
26410,Map3k8
18104,Nqo1
12876,Cpe
16399,Itga2b
21386,Tbx3
23939,Mapk7
105243,Slc9a3
18166,Npy1r
243764,Chrm2
14080,Fabp1
20388,Sftpb
19084,Prkar1a
15516,Hsp90ab1
22788,Zp3
16776,Lama5
18472,Pafah1b1
171285,Havcr2
16797,Lat
83433,Trem2
21390,Tbxa2r
21414,Tcf7
22095,Tshr
14645,Glul
50721,Sirt6
23957,Nr0b2
12161,Bmp6
13406,Dmp1
26926,Aifm1
17977,Ncoa1
18185,Nrl
14585,Gfra1
11435,Chrna1
12484,Cd24a
15431,Hoxd11
30878,Apln
27103,Eif2ak4
14739,S1pr2
12652,Chga
19354,Rac2
140781,Myh7
12495,Entpd1
112405,Egln1
12822,Col18a1
14186,Fgfr4
18132,Notch4
22138,Ttn
16994,Ltb
208650,Cblb
12633,Cflar
18478,Pah
22341,Vegfc
16948,Lox
22063,Trpc1
16009,Igfbp3
26903,Dysf
18423,Otx1
19650,Rbl1
235320,Zbtb16
16017,Ighg1
19651,Rbl2
12111,Bgn
11542,Adora3
21824,Thbd
111365144,LOC111365144
22410,Wnt10b
193740,Hspa1a
57138,Slc12a5
15507,Hspb1
15398,Hoxa13
74143,Opa1
208727,Hdac4
19215,Ptgds
212712,Satb2
12426,Cckbr
15568,Elavl1
15426,Hoxc8
16398,Itga2
12366,Casp2
17268,Meis1
19702,Ren2
12005,Axin1
17164,Mapkapk2
18534,Pck1
12363,Casp4
18655,Pgk1
11464,Actc1
105675,Ppif
12480,Cd1d2
16568,Kif3a
723848,Mir34a
18654,Pgf
12796,Camp
268697,Ccnb1
15213,Hey1
21944,Tnfsf12
14247,Fli1
246278,Cd207
20400,Sh2d1a
109305,Orai1
50701,Elane
12988,Csk
19226,Pth
19303,Pxn
13350,Dgat1
12622,Cer1
17199,Mc1r
53945,Slc40a1
11798,Xiap
83771,Tas1r3
18167,Npy2r
57875,Angptl4
22318,Vamp2
16939,Lor
16669,Krt19
15214,Hey2
54725,Cadm1
20671,Sox17
14125,Fcer1a
21413,Tcf4
60504,Il21r
110147,Ehmt2
12527,Cd9
22065,Trpc3
21894,Tln1
17451,Mos
13641,Efnb1
21858,Timp2
17171,Mas1
20377,Sfrp1
13626,Eed
18441,P2ry1
21990,Tph1
23985,Slc26a4
20201,S100a8
16451,Jak1
22094,Tshb
21780,Tfam
16975,Lrp8
18021,Nfatc3
12292,Cacna1s
13846,Ephb4
24063,Spry1
18073,Nid1
64242,Ngb
15412,Hoxb4
15442,Hpse
108655,Foxp1
13548,Dyrk1a
20606,Sstr2
16071,Igkc
225471,Ticam2
12507,Cd5
22255,Uncx
16179,Irak1
11928,Atp1a1
14836,Gsc
18430,Oxtr
108078,Olr1
58226,Cacna1h
18511,Pax9
26362,Axl
13590,Lefty1
22166,Txn1
18780,Pla2g2a
17840,Mup1
14402,Gabrb3
16518,Kcnj2
17292,Mesp1
15405,Hoxa9
20907,Stx1a
15399,Hoxa2
15395,Hoxa10
17857,Mx1
69253,Hspb2
19417,Rasgrf1
19876,Robo1
214084,Slc18a2
223701,Mkl1
19735,Rgs2
19126,Prom1
110648,Lmx1a
17380,Mme
230073,Ddx58
625249,Gpx4
16007,Cyr61
16867,Lhcgr
13836,Epha2
11304,Abca4
16400,Itga3
21832,Thpo
99982,Kdm1a
13733,Adgre1
17132,Maf
234779,Plcg2
13197,Gadd45a
65079,Rtn4r
18548,Pcsk1
26424,Nr5a2
14938,Gzma
20020,Polr2a
22596,Xrcc5
214384,Myocd
18975,Polg
381319,Batf3
20472,Six2
12400,Cbfb
16668,Krt18
16592,Fabp5
12515,Cd69
59027,Nampt
12326,Camk4
53357,Pla2g6
14013,Mecom
12257,Tspo
11807,Apoa2
20927,Abcc8
18549,Pcsk2
16535,Kcnq1
11605,Gla
17250,Abcc1
21410,Hnf1b
17393,Mmp7
19216,Ptger1
14245,Lpin1
12752,Cln3
18830,Pltp
21826,Thbs2
13070,Cyp11a1
15364,Hmga2
16777,Lamb1
11891,Rab27a
14282,Fosb
18970,Polb
52463,Tet1
20319,Sfrp2
14615,Gjc1
12224,Klf5
12715,Ckm
15166,Hcn2
21417,Zeb1
12833,Col6a1
30931,Tor1a
13040,Ctss
17777,Mttp
27223,Trp53bp1
11792,Apex1
12825,Col3a1
217166,Nr1d1
54446,Nfat5
20238,Atxn1
12306,Anxa2
20533,Slc4a1
23872,Ets2
223864,Rapgef3
27401,Skp2
238447,Igha
15402,Hoxa5
19434,Rax
14403,Gabrd
14132,Fcgrt
19288,Ptx3
18991,Pou3f1
16508,Kcnd2
12986,Csf3r
13136,Cd55
15519,Hsp90aa1
12631,Cfl1
18148,Npm1
16421,Itgb7
22164,Tnfsf4
50930,Tnfsf14
15400,Hoxa3
12145,Cxcr5
12267,C3ar1
14623,Gjb6
64383,Sirt2
19339,Rab3a
20471,Six1
93695,Gpnmb
18438,P2rx4
20788,Srebf2
268373,Ppia
17901,Myl1
12160,Bmp5
20497,Slc12a3
12015,Bad
18979,Pon1
13078,Cyp1b1
16596,Klf1
18817,Plk1
107589,Mylk
12951,Crx
26379,Esrra
13367,Diaph1
19156,Psap
16822,Lcp2
71586,Ifih1
12983,Csf2rb
12560,Cdh3
22406,Wld
13043,Cttn
18610,Pdyn
18222,Numb
14381,G6pdx
13685,Eif4ebp1
11878,Arx
16194,Il6ra
11517,Adcyap1r1
16874,Lhx6
378435,Mafa
12385,Ctnna1
78405,Ntf5
18760,Prkd1
26556,Homer1
11909,Atf2
21849,Trim28
16450,Jag2
76365,Tbx18
12828,Col4a3
18986,Pou2f1
21984,Tpbpa
16513,Kcnj10
50723,Icosl
15212,Hexb
13684,Eif4e
22242,Umod
15369,Hmox2
227753,Gsn
21385,Tbx2
13345,Twist2
432530,Adcy1
15559,Htr2b
21667,Tdgf1
18174,Slc11a2
192656,Ripk2
16404,Itga7
15128,Hbb-ar
56632,Sphk2
15572,Elavl4
20677,Sox4
19361,Rad51
12526,Cd8b1
54427,Dnmt3l
16456,F11r
14375,Xrcc6
17880,Myh11
12580,Cdkn2c
18795,Plcb1
18775,Prl3d1
15121,Hba
20292,Ccl11
54720,Rcan1
18413,Osm
110279,Bcr
15926,Idh1
17173,Ascl2
14170,Fgf15
12291,Cacna1g
233908,Fus
16008,Igfbp2
14071,F9
67603,Dusp6
100102,Pcsk9
12640,Cga
17470,Cd200
12091,Glb1
56843,Trpm5
14960,H2-Aa
80287,Apobec3
13164,Dazl
11677,Akr1b3
226641,Atf6
16407,Itgae
14601,Ghrh
17300,Foxc1
16526,Kcnk2
15481,Hspa8
12287,Cacna1b
50754,Fbxw7
20466,Sin3a
17755,Map1b
58805,Mlxipl
666279,Dspp
14612,Gja4
17878,Myf6
16011,Igfbp5
55985,Cxcl13
14395,Gabra2
21374,Tbp
109905,Rap1a
93742,Pard3
108058,Camk2d
50931,Il27ra
14715,Gnrhr
268902,Robo2
21940,Cd27
14104,Fasn
24136,Zeb2
22323,Vasp
20661,Sort1
11941,Atp2b2
98660,Atp1a2
18457,Bloc1s6
17979,Ncoa3
268903,Nrip1
13172,Dbx1
18616,Peg3
13617,Ednra
50914,Olig1
17984,Ndn
11845,Arf6
171209,Asic3
17087,Ly96
17978,Ncoa2
18095,Nkx3-1
192176,Flna
270190,Ephb1
20510,Slc1a1
13430,Dnm2
22218,Sumo1
20505,Slc34a1
14234,Foxc2
723814,Mir223
15379,Onecut1
18805,Pld1
11828,Aqp3
26927,Foxl2
27354,Nbn
20664,Sox1
17898,Myl7
22608,Ybx1
245000,Atr
21950,Tnfsf9
22784,Slc30a3
17248,Mdm4
17533,Mrc1
17258,Mef2a
17690,Msi1
114229,Kiss1r
17339,Mip
17769,Mthfr
20508,Slc18a3
18158,Nppb
18389,Oprl1
26941,Slc9a3r1
